order_id,customer_name,category,sub_category,city,order_date,region,sales,discount,profit,state,Year,Month,Date,Discount_Amt,dispatch_date,Profit Margin,store_id,store_name,product_id,dispatch_to_sale_days
OD1,Harish,Oil & Masala,Masalas,Vellore,08-11-2017,North,1254,0.12,401.28,Tamil Nadu,2017,November,8,171,05-11-2017,32,1021,Store_1021,OiMa0,3
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,08-11-2017,South,749,0.18,149.8,Tamil Nadu,2017,November,8,164,07-11-2017,20,1008,Store_1008,BeHe1,1
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,12-06-2017,West,2360,0.21,165.2,Tamil Nadu,2017,June,12,627,09-06-2017,7,1013,Store_1013,FoAt2,3
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,11-10-2016,South,896,0.25,89.6,Tamil Nadu,2016,October,11,299,07-10-2016,10,1004,Store_1004,FrFr3,4
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,11-10-2016,South,2355,0.26,918.45,Tamil Nadu,2016,October,11,827,06-10-2016,39,1012,Store_1012,FoOr4,5
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,09-06-2015,West,2305,0.26,322.7,Tamil Nadu,2015,June,9,810,07-06-2015,14,1004,Store_1004,FoOr5,2
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,09-06-2015,West,826,0.33,346.92,Tamil Nadu,2015,June,9,407,06-06-2015,42,1020,Store_1020,FrFr6,3
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,09-06-2015,West,1847,0.32,147.76,Tamil Nadu,2015,June,9,869,08-06-2015,8,1015,Store_1015,FrFr7,1
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,09-06-2015,West,791,0.23,181.93,Tamil Nadu,2015,June,9,236,05-06-2015,23,1019,Store_1019,BaBi8,4
OD10,Krithika,Bakery,Cakes,Chennai,09-06-2015,West,1795,0.27,484.65,Tamil Nadu,2015,June,9,664,08-06-2015,27,1001,Store_1001,BaCa9,1
OD11,Ganesh,Snacks,Chocolates,Karur,09-06-2015,West,1903,0.13,437.69,Tamil Nadu,2015,June,9,284,06-06-2015,23,1007,Store_1007,SnCh10,3
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,09-06-2015,West,701,0.1,308.44,Tamil Nadu,2015,June,9,78,04-06-2015,44,1011,Store_1011,EgEg11,5
